altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,8,7,Chicago,427,True,True,Chicago,2020-05-01 10:16:03,41.78059901484,Chicago,-87.606112388,60602,Chicago,Chicago,Cottage Grove Ave & 63rd St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,428,True,True,Chicago,2020-05-01 10:21:20,41.7804056457,Chicago,-87.5914159893,60602,Chicago,Chicago,Dorchester Ave & 63rd St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,2,9,Chicago,429,True,True,Chicago,2020-05-01 10:02:41,41.77372095205,Chicago,-87.60563486,60602,Chicago,Chicago,Cottage Grove Ave & 67th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,4,7,Chicago,430,True,True,Chicago,2020-05-01 11:10:38,41.78008063659,Chicago,-87.6159428567,60602,Chicago,Chicago,MLK Jr Dr & 63rd St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,6,5,Chicago,431,True,True,Chicago,2020-05-01 08:39:55,41.78414169317,Chicago,-87.6133078304,60602,Chicago,Chicago,Eberhart Ave & 61st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,11,8,Chicago,432,True,True,Chicago,2020-05-01 04:46:20,42.009074,Chicago,-87.67419,60602,Chicago,Chicago,Clark St & Lunt Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,4,7,Chicago,433,True,True,Chicago,2020-05-01 04:56:42,41.87359967462,Chicago,-87.7048707493,60602,Chicago,Chicago,Kedzie Ave & Harrison St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,10,9,Chicago,434,True,True,Chicago,2020-05-01 04:56:42,41.86650148316,Chicago,-87.68469707,60602,Chicago,Chicago,Ogden Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,6,Chicago,435,True,True,Chicago,2020-05-01 04:56:41,41.86649278172,Chicago,-87.7064961757,60602,Chicago,Chicago,Kedzie Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,6,Chicago,436,True,True,Chicago,2020-05-01 04:56:42,41.866624,Chicago,-87.694521,60602,Chicago,Chicago,Fairfield Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,11
